force;displacement;velocity;current;frequency
-1.173375249;7.868900299;-152.1446925;0;1
-1.17502296;7.71838522;-152.3871347;0;1
-1.179040194;7.567884445;-152.6235608;0;1
-1.18293798;7.4192276;-152.8539617;0;1
-1.185325384;7.270755291;-153.0783281;0;1
-1.188148022;7.121977329;-153.2966512;0;1
-1.189458013;6.972854137;-153.5089225;0;1
-1.190136194;6.822984695;-153.7151335;0;1
-1.192748785;6.673857212;-153.9152761;0;1
-1.196772575;6.524647713;-154.1093424;0;1
-1.199400783;6.374695301;-154.2973247;0;1
-1.202590585;6.223519325;-154.4792156;0;1
-1.20690465;6.072293282;-154.6550079;0;1
-1.210677743;5.920825481;-154.8246947;0;1
-1.215209842;5.768757343;-154.9882693;0;1
-1.219680548;5.616566658;-155.1457252;0;1
-1.225462437;5.463449478;-155.2970563;0;1
-1.230788231;5.310202599;-155.4422564;0;1
-1.233776808;5.156508923;-155.58132;0;1
-1.23504281;5.002922535;-155.7142415;0;1
-1.236901402;4.847441196;-155.8410157;0;1
-1.239840746;4.691404819;-155.9616375;0;1
-1.242287636;4.536462784;-156.0761022;0;1
-1.244509578;4.380411148;-156.1844053;0;1
-1.246284962;4.223985672;-156.2865426;0;1
-1.250053763;4.067770004;-156.3825098;0;1
-1.250628352;3.911251068;-156.4723034;0;1
-1.251265645;3.754609108;-156.5559197;0;1
-1.254573941;3.597828388;-156.6333555;0;1
-1.256544232;3.441603899;-156.7046076;0;1
-1.256643772;3.28461194;-156.7696733;0;1
-1.257063746;3.12786293;-156.8285501;0;1
-1.257695198;2.970773458;-156.8812354;0;1
-1.256796241;2.813989401;-156.9277274;0;1
-1.257024169;2.657046556;-156.9680242;0;1
-1.25617981;2.499130964;-157.0021241;0;1
-1.256061196;2.342818499;-157.0300258;0;1
-1.25510478;2.186281919;-157.0517283;0;1
-1.254363418;2.029998064;-157.0672306;0;1
-1.254023433;1.873457551;-157.0765322;0;1
-1.254131794;1.716933966;-157.0796327;0;1
-1.255005836;1.560099959;-157.0765319;0;1
-1.255547166;1.402560949;-157.06723;0;1
-1.256185055;1.24584949;-157.0517274;0;1
-1.257188201;1.088979006;-157.0300247;0;1
-1.259260178;0.931482494;-157.0021226;0;1
-1.26054585;0.774578512;-156.9680224;0;1
-1.262479424;0.618202507;-156.9277254;0;1
-1.263590574;0.4610475;-156.8812331;0;1
-1.265254378;0.304077506;-156.8285474;0;1
-1.266963601;0.146580994;-156.7696704;0;1
-1.267166615;-0.0111225;-156.7046044;0;1
-1.267476559;-0.167978495;-156.633352;0;1
-1.267161608;-0.325201511;-156.5559159;0;1
-1.265853763;-0.482726008;-156.4722993;0;1
-1.264844179;-0.639892995;-156.3825054;0;1
